NR	NH	optC	vc_cycle	sa_cycle	asm_cycle
116	24	641	278	100	101
120	24	642	278	100	101
124	24	681	279	100	101
128	24	682	278	100	101
4	28	65	198	35	32
8	28	86	198	35	32
12	28	128	198	34	32
16	28	130	198	35	32
20	28	172	215	47	44
24	28	174	215	46	44
28	28	216	214	47	44
32	28	218	215	46	43
36	28	260	232	57	55
40	28	262	232	58	56
44	28	304	232	57	56
48	28	306	232	58	56
52	28	348	250	69	68
56	28	350	249	69	69
60	28	392	249	68	68
64	28	394	250	68	68
68	28	436	268	80	81
72	28	438	267	80	81
76	28	480	268	80	81
80	28	482	268	80	80
84	28	524	284	92	92
88	28	526	285	91	92
92	28	568	284	91	92
96	28	570	284	91	92
100	28	612	303	103	104
104	28	614	302	103	103
108	28	656	302	103	104
112	28	658	302	103	104
116	28	700	319	114	116
120	28	702	319	114	116
124	28	744	319	114	116
128	28	746	319	114	115
4	32	68	222	37	34
8	32	90	222	38	35
12	32	135	222	37	34
16	32	138	222	37	35
20	32	183	241	50	48
24	32	186	241	51	48
28	32	231	241	51	48
32	32	234	241	50	48
36	32	279	261	63	63
40	32	282	261	64	63
44	32	327	261	64	63
48	32	330	261	64	62
52	32	375	280	76	76
56	32	378	281	76	76
60	32	423	281	76	76
64	32	426	281	76	76
68	32	471	302	89	91
72	32	474	301	89	90
76	32	519	301	89	90
80	32	522	301	89	90
84	32	567	320	102	103
88	32	570	320	102	103
92	32	615	321	102	103
96	32	618	321	102	103
100	32	663	341	115	117
104	32	666	341	116	116
108	32	711	341	115	116
112	32	714	341	116	116
116	32	759	360	127	130
120	32	762	360	128	130
124	32	807	360	128	130
128	32	810	361	127	130
